County,City,Model Year,Maker,Model,EV Type,CAFV Eligibility,Electric Range,Electric Utility
Snohomish,Bothell,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Kitsap,Bainbridge Island,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Kitsap,Bremerton,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Thurston,Olympia,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Thurston,Rochester,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Kitsap,Indianola,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Kitsap,Kingston,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Island,Oak Harbor,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Kitsap,Port Orchard,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Thurston,Lacey,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Snohomish,Lake Stevens,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Snohomish,Edmonds,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Skagit,Burlington,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Snohomish,Arlington,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Snohomish,Lynnwood,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Walla Walla,Walla Walla,2016,AUDI,A3,PHEV,Not eligible,16,PACIFICORP
Spokane,Spokane,2016,AUDI,A3,PHEV,Not eligible,16,AVISTA CORP
Snohomish,Brier,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Snohomish,Mukilteo,2016,AUDI,A3,PHEV,Not eligible,16,PSE INC
Kitsap,Bainbridge Island,2016,BMW,330E,PHEV,Not eligible,14,PSE INC
Thurston,Olympia,2016,BMW,330E,PHEV,Not eligible,14,PSE INC
Snohomish,Bothell,2016,BMW,330E,PHEV,Not eligible,14,PSE INC
Snohomish,Snohomish,2016,BMW,330E,PHEV,Not eligible,14,PSE INC
Snohomish,Edmonds,2016,BMW,330E,PHEV,Not eligible,14,PSE INC
Kitsap,Poulsbo,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Kitsap,Bremerton,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Thurston,Tenino,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Thurston,Lacey,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Kitsap,Bainbridge Island,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Marysville,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Kitsap,Poulsbo,2016,BMW,I3,BEV,Eligible,81,PSE INC
Snohomish,Lynnwood,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Kitsap,Silverdale,2016,BMW,I3,BEV,Eligible,81,PSE INC
Snohomish,Bothell,2016,BMW,I3,BEV,Eligible,81,PSE INC
Snohomish,Arlington,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Spokane,Spokane Valley,2016,BMW,I3,PHEV,Eligible,72,AVISTA CORP
Snohomish,Edmonds,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Snohomish,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Lake Stevens,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Monroe,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Bothell,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Edmonds,2016,BMW,I3,BEV,Eligible,81,PSE INC
Snohomish,Woodinville,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Island,Coupeville,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Everett,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Everett,2016,BMW,I3,BEV,Eligible,81,PSE INC
Snohomish,Mukilteo,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Spokane,Spokane,2016,BMW,I3,PHEV,Eligible,72,AVISTA CORP
Island,Clinton,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Snohomish,Mountlake Terrace,2016,BMW,I3,PHEV,Eligible,72,PSE INC
Kitsap,Hansville,2016,BMW,I8,PHEV,Not eligible,14,PSE INC
Snohomish,Bothell,2016,BMW,I8,PHEV,Not eligible,14,PSE INC
Thurston,Tumwater,2016,BMW,I8,PHEV,Not eligible,14,PSE INC
Snohomish,Stanwood,2016,BMW,I8,PHEV,Not eligible,14,PSE INC
Yakima,Yakima,2016,BMW,I8,PHEV,Not eligible,14,PACIFICORP
Spokane,Spokane,2016,BMW,I8,PHEV,Not eligible,14,AVISTA CORP
Snohomish,Edmonds,2016,BMW,I8,PHEV,Not eligible,14,PSE INC
Thurston,Olympia,2016,BMW,I8,PHEV,Not eligible,14,PSE INC
Thurston,Olympia,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Snohomish,Everett,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Thurston,Lacey,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Yakima,Zillah,2016,BMW,X5,PHEV,Not eligible,14,PACIFICORP
Snohomish,Bothell,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Kitsap,Olalla,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Yakima,Yakima,2016,BMW,X5,PHEV,Not eligible,14,PACIFICORP
Snohomish,Marysville,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Kitsap,Port Orchard,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Spokane,Spokane,2016,BMW,X5,PHEV,Not eligible,14,AVISTA CORP
Snohomish,Arlington,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Snohomish,Edmonds,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Snohomish,Snohomish,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Snohomish,Lynnwood,2016,BMW,X5,PHEV,Not eligible,14,PSE INC
Walla Walla,College Place,2016,BMW,X5,PHEV,Not eligible,14,PACIFICORP
Whitman,Pullman,2016,BMW,X5,PHEV,Not eligible,14,AVISTA CORP
Spokane,Greenacres,2016,BMW,X5,PHEV,Not eligible,14,AVISTA CORP
Yakima,Yakima,2016,CADILLAC,ELR,PHEV,Eligible,40,PACIFICORP
Thurston,Rochester,2016,CADILLAC,ELR,PHEV,Eligible,40,PSE INC
Snohomish,Marysville,2016,CADILLAC,ELR,PHEV,Eligible,40,PSE INC
Snohomish,Everett,2016,CADILLAC,ELR,PHEV,Eligible,40,PSE INC
Snohomish,Lake Stevens,2016,CADILLAC,ELR,PHEV,Eligible,40,PSE INC
Snohomish,Bothell,2016,CHEVROLET,SPARK,BEV,Eligible,82,PSE INC
Kitsap,Bremerton,2016,CHEVROLET,SPARK,BEV,Eligible,82,PSE INC
Thurston,Tumwater,2016,CHEVROLET,SPARK,BEV,Eligible,82,PSE INC
Yakima,Yakima,2016,CHEVROLET,SPARK,BEV,Eligible,82,PACIFICORP
Kitsap,Port Orchard,2016,CHEVROLET,SPARK,BEV,Eligible,82,PSE INC
Thurston,Olympia,2016,CHEVROLET,SPARK,BEV,Eligible,82,PSE INC
Kitsap,Bainbridge Island,2016,CHEVROLET,SPARK,BEV,Eligible,82,PSE INC
Snohomish,Monroe,2016,CHEVROLET,SPARK,BEV,Eligible,82,PSE INC
Yakima,Selah,2016,CHEVROLET,SPARK,BEV,Eligible,82,PACIFICORP
Snohomish,Lynnwood,2016,CHEVROLET,SPARK,BEV,Eligible,82,PSE INC
Snohomish,Brier,2016,CHEVROLET,SPARK,BEV,Eligible,82,PSE INC
Snohomish,Everett,2016,CHEVROLET,SPARK,BEV,Eligible,82,PSE INC
Island,Oak Harbor,2016,CHEVROLET,SPARK,BEV,Eligible,82,PSE INC
Snohomish,Mill Creek,2016,CHEVROLET,SPARK,BEV,Eligible,82,PSE INC
Kittitas,Ellensburg,2016,CHEVROLET,SPARK,BEV,Eligible,82,PSE INC
Snohomish,Snohomish,2016,CHEVROLET,SPARK,BEV,Eligible,82,PSE INC
Thurston,Lacey,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Thurston,Olympia,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Kitsap,Bremerton,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Thurston,Tenino,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Kitsap,Port Orchard,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Thurston,Centralia,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Kitsap,Kingston,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Yakima,Yakima,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PACIFICORP
Whitman,Pullman,2016,CHEVROLET,VOLT,PHEV,Eligible,53,AVISTA CORP
Spokane,Spokane,2016,CHEVROLET,VOLT,PHEV,Eligible,53,AVISTA CORP
Snohomish,Bothell,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Thurston,Rochester,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Spokane,Spokane Valley,2016,CHEVROLET,VOLT,PHEV,Eligible,53,AVISTA CORP
Snohomish,Lake Stevens,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Skagit,Anacortes,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Kitsap,Bainbridge Island,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Snohomish,Snohomish,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Skagit,Burlington,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Snohomish,Lynnwood,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Snohomish,Everett,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Snohomish,Edmonds,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Snohomish,Marysville,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Island,Greenbank,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Spokane,Otis Orchards,2016,CHEVROLET,VOLT,PHEV,Eligible,53,AVISTA CORP
Thurston,Tumwater,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Walla Walla,Walla Walla,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PACIFICORP
Island,Coupeville,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Island,Oak Harbor,2016,CHEVROLET,VOLT,PHEV,Eligible,53,PSE INC
Yakima,Yakima,2016,FIAT,500,BEV,Eligible,84,PACIFICORP
Thurston,Olympia,2016,FIAT,500,BEV,Eligible,84,PSE INC
Snohomish,Mill Creek,2016,FIAT,500,BEV,Eligible,84,PSE INC
Kitsap,Port Orchard,2016,FIAT,500,BEV,Eligible,84,PSE INC
Kitsap,Suquamish,2016,FIAT,500,BEV,Eligible,84,PSE INC
Kitsap,Poulsbo,2016,FIAT,500,BEV,Eligible,84,PSE INC
Kitsap,Bainbridge Island,2016,FIAT,500,BEV,Eligible,84,PSE INC
Thurston,Lacey,2016,FIAT,500,BEV,Eligible,84,PSE INC
Yakima,Naches,2016,FIAT,500,BEV,Eligible,84,PACIFICORP
Snohomish,Lynnwood,2016,FIAT,500,BEV,Eligible,84,PSE INC
Thurston,Tumwater,2016,FIAT,500,BEV,Eligible,84,PSE INC
Island,Oak Harbor,2016,FIAT,500,BEV,Eligible,84,PSE INC
Snohomish,Everett,2016,FIAT,500,BEV,Eligible,84,PSE INC
Island,Clinton,2016,FIAT,500,BEV,Eligible,84,PSE INC
Snohomish,Marysville,2016,FIAT,500,BEV,Eligible,84,PSE INC
Walla Walla,Walla Walla,2016,FIAT,500,BEV,Eligible,84,PACIFICORP
Snohomish,Edmonds,2016,FIAT,500,BEV,Eligible,84,PSE INC
Spokane,Spokane,2016,FIAT,500,BEV,Eligible,84,AVISTA CORP
Kitsap,Silverdale,2016,FIAT,500,BEV,Eligible,84,PSE INC
Snohomish,Snohomish,2016,FIAT,500,BEV,Eligible,84,PSE INC
Snohomish,Monroe,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Kitsap,Port Orchard,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Snohomish,Bothell,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Kitsap,Kingston,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Snohomish,Sultan,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Thurston,Tumwater,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Thurston,Olympia,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Kitsap,Bainbridge Island,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Thurston,Yelm,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Yakima,Toppenish,2016,FORD,C-MAX,PHEV,Not eligible,19,PACIFICORP
Kitsap,Poulsbo,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Kitsap,Bremerton,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Snohomish,Edmonds,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Snohomish,Lake Stevens,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Snohomish,Everett,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Snohomish,Snohomish,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Skagit,Mount Vernon,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Island,Coupeville,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Snohomish,Lynnwood,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Spokane,Medical Lake,2016,FORD,C-MAX,PHEV,Not eligible,19,AVISTA CORP
Snohomish,Mountlake Terrace,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Spokane,Spokane,2016,FORD,C-MAX,PHEV,Not eligible,19,AVISTA CORP
Spokane,Spokane Valley,2016,FORD,C-MAX,PHEV,Not eligible,19,AVISTA CORP
Snohomish,Mill Creek,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Snohomish,Mukilteo,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Thurston,Lacey,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Spokane,Greenacres,2016,FORD,C-MAX,PHEV,Not eligible,19,AVISTA CORP
Snohomish,Marysville,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Snohomish,Arlington,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Skagit,Anacortes,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Skagit,Sedro-Woolley,2016,FORD,C-MAX,PHEV,Not eligible,19,PSE INC
Stevens,Colville,2016,FORD,C-MAX,PHEV,Not eligible,19,AVISTA CORP
Kitsap,Kingston,2016,FORD,FOCUS,BEV,Eligible,76,PSE INC
Snohomish,Lynnwood,2016,FORD,FOCUS,BEV,Eligible,76,PSE INC
Thurston,Olympia,2016,FORD,FOCUS,BEV,Eligible,76,PSE INC
Island,Oak Harbor,2016,FORD,FOCUS,BEV,Eligible,76,PSE INC
Snohomish,Stanwood,2016,FORD,FOCUS,BEV,Eligible,76,PSE INC
Snohomish,Mukilteo,2016,FORD,FOCUS,BEV,Eligible,76,PSE INC
Island,Clinton,2016,FORD,FOCUS,BEV,Eligible,76,PSE INC
Thurston,Tumwater,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Snohomish,Lake Stevens,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Island,Oak Harbor,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Kitsap,Port Orchard,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Snohomish,Lynnwood,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Kitsap,Seabeck,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Thurston,Rochester,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Yakima,Yakima,2016,FORD,FUSION,PHEV,Not eligible,19,PACIFICORP
Kitsap,Bremerton,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Snohomish,Mountlake Terrace,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Kitsap,Silverdale,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Thurston,Olympia,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Kitsap,Poulsbo,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Thurston,Lacey,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Snohomish,Mill Creek,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Snohomish,Everett,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Kittitas,Easton,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Snohomish,Edmonds,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Spokane,Mead,2016,FORD,FUSION,PHEV,Not eligible,19,AVISTA CORP
Snohomish,Marysville,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Snohomish,Snohomish,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Spokane,Spokane Valley,2016,FORD,FUSION,PHEV,Not eligible,19,AVISTA CORP
Lincoln,Wilbur,2016,FORD,FUSION,PHEV,Not eligible,19,AVISTA CORP
Walla Walla,College Place,2016,FORD,FUSION,PHEV,Not eligible,19,PACIFICORP
Skagit,Anacortes,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Snohomish,Bothell,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Spokane,Spokane,2016,FORD,FUSION,PHEV,Not eligible,19,AVISTA CORP
Skagit,Mount Vernon,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Island,Coupeville,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Skagit,Burlington,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Adams,Othello,2016,FORD,FUSION,PHEV,Not eligible,19,AVISTA CORP
Spokane,Airway Heights,2016,FORD,FUSION,PHEV,Not eligible,19,AVISTA CORP
Snohomish,Arlington,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Snohomish,Monroe,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Thurston,Yelm,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Spokane,Liberty Lake,2016,FORD,FUSION,PHEV,Not eligible,19,AVISTA CORP
Garfield,Pomeroy,2016,FORD,FUSION,PHEV,Not eligible,19,PACIFICORP
Kitsap,Bainbridge Island,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Snohomish,Mukilteo,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Stevens,Loon Lake,2016,FORD,FUSION,PHEV,Not eligible,19,AVISTA CORP
Spokane,Greenacres,2016,FORD,FUSION,PHEV,Not eligible,19,AVISTA CORP
Skagit,Sedro-Woolley,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Walla Walla,Walla Walla,2016,FORD,FUSION,PHEV,Not eligible,19,PACIFICORP
Yakima,White Swan,2016,FORD,FUSION,PHEV,Not eligible,19,PACIFICORP
Island,Freeland,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Stevens,Fruitland,2016,FORD,FUSION,PHEV,Not eligible,19,AVISTA CORP
Spokane,Fairfield,2016,FORD,FUSION,PHEV,Not eligible,19,AVISTA CORP
Kittitas,Ellensburg,2016,FORD,FUSION,PHEV,Not eligible,19,PSE INC
Snohomish,Edmonds,2016,HYUNDAI,SONATA,PHEV,Not eligible,27,PSE INC
Thurston,Olympia,2016,HYUNDAI,SONATA,PHEV,Not eligible,27,PSE INC
Spokane,Cheney,2016,HYUNDAI,SONATA,PHEV,Not eligible,27,AVISTA CORP
Snohomish,Lynnwood,2016,HYUNDAI,SONATA,PHEV,Not eligible,27,PSE INC
Snohomish,Bothell,2016,HYUNDAI,SONATA,PHEV,Not eligible,27,PSE INC
Spokane,Nine Mile Falls,2016,HYUNDAI,SONATA,PHEV,Not eligible,27,AVISTA CORP
Kitsap,Bainbridge Island,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Kitsap,Port Orchard,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Kitsap,Kingston,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Thurston,Olympia,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Kitsap,Bremerton,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Kitsap,Silverdale,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Snohomish,Lake Stevens,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Kitsap,Poulsbo,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Snohomish,Bothell,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Kitsap,Suquamish,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Snohomish,Snohomish,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Snohomish,Lynnwood,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Snohomish,Everett,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Snohomish,Mill Creek,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Snohomish,Edmonds,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Snohomish,Woodway,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Snohomish,Sultan,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Whitman,Palouse,2016,KIA,SOUL,BEV,Eligible,93,AVISTA CORP
Kittitas,Roslyn,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Asotin,Clarkston,2016,KIA,SOUL,BEV,Eligible,93,AVISTA CORP
Thurston,Lacey,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Skagit,La Conner,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Skagit,Anacortes,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Spokane,Spokane,2016,KIA,SOUL,BEV,Eligible,93,AVISTA CORP
Snohomish,Monroe,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Island,Langley,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Snohomish,Woodinville,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Spokane,Deer Park,2016,KIA,SOUL,BEV,Eligible,93,AVISTA CORP
Island,Clinton,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Spokane,Edwall,2016,KIA,SOUL,BEV,Eligible,93,AVISTA CORP
Skagit,Mount Vernon,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Island,Greenbank,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Walla Walla,Waitsburg,2016,KIA,SOUL,BEV,Eligible,93,PACIFICORP
Snohomish,Marysville,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Snohomish,Stanwood,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Spokane,Medical Lake,2016,KIA,SOUL,BEV,Eligible,93,AVISTA CORP
Snohomish,Mukilteo,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Lincoln,Reardan,2016,KIA,SOUL,BEV,Eligible,93,AVISTA CORP
Island,Freeland,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Walla Walla,Touchet,2016,KIA,SOUL,BEV,Eligible,93,PACIFICORP
Island,Coupeville,2016,KIA,SOUL,BEV,Eligible,93,PSE INC
Kitsap,Bainbridge Island,2016,MERCEDES-BENZ,B-CLASS,BEV,Eligible,87,PSE INC
Snohomish,Edmonds,2016,MERCEDES-BENZ,B-CLASS,BEV,Eligible,87,PSE INC
Kitsap,Poulsbo,2016,MERCEDES-BENZ,C-CLASS,PHEV,Not eligible,11,PSE INC
Snohomish,Edmonds,2016,MERCEDES-BENZ,GLE-CLASS,PHEV,Not eligible,10,PSE INC
Snohomish,Snohomish,2016,MERCEDES-BENZ,GLE-CLASS,PHEV,Not eligible,10,PSE INC
Snohomish,Lynnwood,2016,MERCEDES-BENZ,GLE-CLASS,PHEV,Not eligible,10,PSE INC
Snohomish,Everett,2016,MERCEDES-BENZ,GLE-CLASS,PHEV,Not eligible,10,PSE INC
Island,Oak Harbor,2016,MERCEDES-BENZ,GLE-CLASS,PHEV,Not eligible,10,PSE INC
Snohomish,Bothell,2016,MERCEDES-BENZ,S-CLASS,PHEV,Not eligible,14,PSE INC
Snohomish,Mukilteo,2016,MITSUBISHI,I-MIEV,BEV,Eligible,62,PSE INC
Spokane,Spokane Valley,2016,MITSUBISHI,I-MIEV,BEV,Eligible,62,AVISTA CORP
Snohomish,Marysville,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Kitsap,Bainbridge Island,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Kitsap,Port Orchard,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Thurston,Olympia,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Snohomish,Monroe,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Kitsap,Bremerton,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Kitsap,Poulsbo,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Kitsap,Suquamish,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Kitsap,Silverdale,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Snohomish,Tulalip,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Thurston,Tumwater,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Kitsap,Olalla,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Thurston,Rochester,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Snohomish,Bothell,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Thurston,Lacey,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Kitsap,Hansville,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Kitsap,Indianola,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Island,Oak Harbor,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Snohomish,Edmonds,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Yakima,Yakima,2016,NISSAN,LEAF,BEV,Eligible,84,PACIFICORP
Island,Coupeville,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Snohomish,Mukilteo,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Spokane,Spokane,2016,NISSAN,LEAF,BEV,Eligible,84,AVISTA CORP
Skagit,Anacortes,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Snohomish,Everett,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Snohomish,Mill Creek,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Snohomish,Lake Stevens,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Walla Walla,Walla Walla,2016,NISSAN,LEAF,BEV,Eligible,84,PACIFICORP
Skagit,Mount Vernon,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Spokane,Nine Mile Falls,2016,NISSAN,LEAF,BEV,Eligible,84,AVISTA CORP
Spokane,Spokane Valley,2016,NISSAN,LEAF,BEV,Eligible,84,AVISTA CORP
Thurston,Tenino,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Island,Freeland,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Snohomish,Lynnwood,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Snohomish,Mountlake Terrace,2016,NISSAN,LEAF,BEV,Eligible,84,PSE INC
Spokane,Liberty Lake,2016,NISSAN,LEAF,BEV,Eligible,84,AVISTA CORP
